New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,"933/256/133/1.7V (Pentium III)",,1,x,Intel,"BX80526C933256 (Boxed)",933/256/133/1.7V,SL4ME,,,CPU,"Pentium III",,,,Coppermine,686,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,933MHz,133MHz,,7,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,90mm2,1.7V,,"1.62V / 1.7V / 1.74V",,,,,,,24.5W,"AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 77°C",2000,2000,744,"Desktop computers",,,,,,,,,,,,,,,,,,
,"KC 733/128 (Pentium III Xbox)",ON-Game-board,1,X,Intel,"KC 733/128 (Xbox)","KC 733/128",,,,CPU,"Pentium III",,,,Coppermine-128,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,733MHz,133MHz,,,integrated,none,,16k/16k,,16k,16k,128k,none,NA,NA,NA,4G,,mFC-BGA2-475,,NA,28M,0.18u,CMOS,"106 mm^2 ?","1.65V ? 1.7V",,,,,,,,,,,,2000,2000,,"Video game systems",,,,"Xbox CPU, Coppermine based Pentium III with only 128KB L2 cache",ic-photo-Intel--KC_733_128--(X-BOX-Pentium-III-CPU).png,,,,,,,,,,,,,
,"KC 700/256 (Pentium III)",NI,1,X,Intel,KC80526GY700256,"KC 700/256",SL4JK,,,CPU,"Pentium III",,,,Coppermine,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,700MHz,100MHz,,,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,PBGA-B495,"31mm x 27mm",NA,28M,0.18u,CMOS,,1.6V,,,3.3V,,,,,23.94W,,,,2000,2000,,"Desktop computers",,,,,,,,,,,,,,,,,,
,"KP 750/256 (Pentium III)",,1,X,Intel,KP80526GY750256,"KP 750/256",SL4K2,,,CPU,"Pentium III",Mobile,,,Coppermine,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,750MHz,100MHz,,7.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-uPGA2-495,,"Socket 495",28M,0.18u,CMOS,,,,"1.485V / 1.6V / 1.64V",,,,"3.61 Watt (Stop Grant mode)",,25.58W,15.8W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Enhanced SpeedStep",,2000,2000,564,"Mobile computers",,,,,,,,,,,,,,,,,,
,"KP 850/256 (Pentium III)",,1,X,Intel,KP80526GY850256,"KP 850/256","SL4AH, SL53L",,,CPU,"Pentium III",Mobile,,,Coppermine,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,850MHz,100MHz,,8.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,PBGA-B495,"31mm x 27mm",NA,28M,0.18u,CMOS,,,,"1.485V / 1.6V / 1.64V",,,,"5.74 Watt (Stop Grant mode)",,28.86W,18.2W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Enhanced SpeedStep",0-100C,2000,2000,722,"Mobile computers",,,,,,,,,,,,,,,,,,
,"KP 900/256 (Pentium III)",,1,X,Intel,KP80526GY900256,"KP 900/256",SL53T,,,CPU,"Pentium III",Coppermine,,,Coppermine,68A,x32,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,no,1,,,32,64,32,900MHz,100MHz,,9,integrated,none,,16k/16k,,16k,16k,256k,,NA,NA,NA,,,"uPGA-495 (PPGA-B495)","34.2mm x 28.3mm","Socket 495",28M,0.18u,CMOS,,"1.62V / 1.7V / 1.74V",,"1.62V / 1.7V / 1.74V",,,,"6.8 Watt (Stop Grant mode)",,"33.58 Watt","23.3 Watt","Stop Grant, Auto Halt, Sleep, Deep Sleep, Quick Start modes; SpeedStep technology","0°C - 100°C",2001,2001,562,"Mobile computers",,,,,,,,,,,,,,,,,,
,"1000/256/133/1.75V (Pentium III)",`````,1,x,Intel,RB80526PY001256,1000/256/133/1.75V,SL5QV,BX80526F1000256,,CPU,"Pentium III",,,,Coppermine,68A,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1GHz,100MHz,,10,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,94.7mm2,1.75V,,"1.67V / 1.75V / 1.79V",,,,,,35.35W,29W,"AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C – 75°C",2000,2000,990,"Desktop computers",,,,,,,,,,,,,,,,,,
,"1100/256/100/1.75V (Pentium III)",`````,1,x,Intel,"RB80526PY005256 (1.75V)",1100/256/100/1.75V,SL5QW,BX80526F1100256,,CPU,"Pentium III",,,,Coppermine,68A,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1.1GHz,100MHz,,11,integrated,none,,16k/16k,,16k,16k,256k,,NA,NA,NA,,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,94.7mm2,1.75V,,1.75V,,,,,,39.55,33W,"AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 77°C",,,,"Desktop computers",,,,,,,,,,,,,,,,,,
,"1000/256/133/1.75V (Pentium III)",`````,1,x,Intel,"RB80526PZ001256 (1.75V)",1000/256/133/1.75V,SL52R,BX80526C1000256,,CPU,"Pentium III",,,,Coppermine,68A,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1GHz,133MHz,,7.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,94.7mm2,1.75V,,"1.67V / 1.75V / 1.79V",,,,,,35.35W,29W,"AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management",75°C,2000,2000,990,"Desktop computers",,,,,,,,,,,,,,,,,,
,"1000/256/133/1.7V (Pentium III)",`````,1,x,Intel,"RB80526PZ001256 (1.7V)",1000/256/133/1.7V,SL4C8,BX80526C1000256,,CPU,"Pentium III",,,,Coppermine,686,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1GHz,133MHz,,7.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,90mm2,1.7V,,"1.62V / 1.7V / 1.74V",,,,,,32.98W,26.1W,"AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 70°C",2000,2000,990,"Desktop computers",,,,,,,,,,,,,,,,,,
,"667/256/133/1.65V (Pentium III)",BU,2,1,Intel,RB80526PZ667256,667/256/133/1.65V,SL3XW,BX80526F667256,,CPU,"Pentium III",,,,Coppermine,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,667MHz,133MHz,,,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,,"Slot 1 (SC242)",28.1M,0.18u,CMOS,106mm^2,1.65V,,,3.3V,,,,,21.95W,,,,1999,1999,,"Desktop computers",,,,"Pentium III 667 (Coppermine)",ic-photo-Intel--80526PZ667256--(667-256-133-1.65V)--(Pentium-III-CPU)-.JPG,,,,,,,datasheet-Intel-Pentium-III-PGA370--500E-533EB-550E-600E-600EB-650-667-700-733-750-800-800EB-850-866-900-933-1GHz-1BGHz-1.10GHz-1.13GHz.pdf,,,,,,
,"733/256/133/1.65V (Pentium III)",,1,X,Intel,RB80526PZ733256,733/256/133/1.65V,SL3XY,,,CPU,"Pentium III",,,,Coppermine,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,733MHz,133MHz,,,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Slot 1 (SC242)",28M,0.18u,CMOS,,1.65V,,,3.3V,,,,,22.8W,,,,1999,1999,,,,,,,ic-photo-Intel--RB80526PZ733256--(733-256-133-1.65V)--(Pentium_III-CPU).jpg,,,,,,,datasheet-Intel-Pentium_III_Processor_for_the_PGA370.pdf,,,,,,
,"866/256/133/1.75V (Pentium III)",,1,x,Intel,"RB80526PZ866256 (1.75V)",866/256/133/1.75V,SL4ZJ,,,CPU,"Pentium III",,,,Coppermine,68A,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,866MHz,133MHz,,6.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,94.7mm2,1.75V,,"1.67V / 1.75V / 1.79V",3.3V,,,,,"30.8 Watt","26.1 Watt","AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 80°C",2000,2000,,"Desktop computers",,,,,,,,,,,,datasheet-Intel-Pentium_III_Processor_for_the_PGA370.pdf,,,,,,
,"866/256/133/1.7V (Pentium III)",`````,1,x,Intel,"RB80526PZ866256 (1.7V)",866/256/133/1.7V,SL4CB,,,CPU,"Pentium III",,,,Coppermine,686,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,866MHz,133MHz,,6.5,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,90mm2,1.7V,,"1.62V / 1.7V / 1.74V",3.3V,,,,,"27.71 Watt","22.9 Watt","AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 80°C",2000,2000,,"Desktop computers",,,,,,,,,,,,,,,,,,
,"933/256/133/1.75V (Pentium III)",,1,x,Intel,RB80526PZ933256,933/256/133/1.75V,"SL52Q, SL4C9",BX80526C933256,"BX80526C933256E ",CPU,"Pentium III",,,,Coppermine,68A,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,933MHz,133MHz,,7,integrated,none,,16k/16k,,16k,16k,256k,none,NA,NA,NA,4G,,FC-PGA-370,"49.5mm x 49.5mm","Socket 370 / PGA370",28M,0.18u,CMOS,94.7mm2,1.75V,,"1.67V / 1.75V / 1.79V",,,,"30.09 W",,"32.9 Watt ","27.5 Watt","AutoHALT, Stop Grant, Sleep, Deep Sleep, System Management","0°C - 77°C",2000,2000,744,"Desktop computers",,,,,,,,,,,,,,,,,,
,"1400/512/133/1.45V (Pentium III-S)",`````,1,x,Intel,RK80530KZ017512,1400/512/133/1.45V,SL5XL,RK80530KZ01751E,BX80530C1400512,CPU,"Pentium III",S,,,Tualatin,6B1,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1.4GHz,133MHz,,10.5,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,"FC-PGA2-370 with heat spreader","49.5mm x 49.5mm","Socket 370 / PGA370",,0.13u,CMOS,,1.45V,,1.45V,,,,"21.46 Watt (Stop Grant state)",,"31.2 Watt",,"AutoHALT, Stop Grant, Sleep, Deep Sleep","0°C - 69°C",,,,"Desktop computers",,,,,,,,,,,,,,,,,,
,"RH80530 1000/512 (Pentium III-M)",,1,X,Intel,RH80530GZ001512,"RH80530 1000/512",SL69V,,,CPU,"Pentium III-M",M,,,Tualatin,,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1GHz,133MHz,,7.5,integrated,none,,16k/16k,,16k,16k,512k,,NA,NA,NA,4G,,FC-uPGA-478,"35mm x 35mm","Socket 479",,,CMOS,,,,"1.4V (max performance)/1.15V (Battery optimized)",,,,"1.45 Watt (Deeper Sleep mode)",,20.5W,20.5W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Enhanced SpeedStep",0-100C,2001,2001,394,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80530 1133/512 (Pentium III-M)",,1,X,Intel,RH80530GZ006512,"RH80530 1133/512",SL5CK,"RH80530GZ00651E, BXM80530B113GD",,CPU,"Pentium III-M",M,,,Tualatin,06B1h,x86,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,1.133GHz,133MHz,,8.5,integrated,none,,16k/16k,,16k,16k,512k,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479",,0.13u,CMOS,,,,"1.4V (max performance)/1.15V (Battery optimized)",,,,"1.45 Watt (Deeper Sleep mode)",,24.5W,21.8W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Enhanced SpeedStep",0-100C,2001,2001,625,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RJ80530 1200/512 (Pentium III-M)",`````,1,X,Intel,RJ80530GZ009512,"RJ80530 1200/512",SL6AK,,,CPU,"Pentium III-M",Mobile,,,Tualatin,6B4,x32,"MMX, SSE",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,no,1,,,32,64,32,1.2GHz,133MHz,,9,integrated,none,,16k/16k,,16k,16k,512k,,NA,NA,NA,,,FC-uBGA-479,"35mm x 35mm",NA,,0.13u,CMOS,,"1.15V (battery optimized mode), 1.4V (maximum performance mode)",,"1.15V (battery optimized mode), 1.4V (maximum performance mode)",,,,"1.45 Watt (Deeper Sleep mode)",,"25.23 Watt",22W,"Auto Halt, Sleep, Deep Sleep, Deeper Sleep modes; Enhanced SpeedStep technology","0°C - 100°C",,,,"Mobile computers",,,,,,,,,,,,,,,,,,
,,AO,1,X,Intel,PODP66X333,,,,,CPU,"Pentium II Overdrive",Overdrive,,,Deschutes-based,1632,x86,MMX,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,P6,Intel,No,1,,,32,64,32,300/333MHz,60/66MHz,,5,integrated,none,,16k/16k,,16k,16k,512k,none,NA,NA,NA,4G,,"Modified staggered PPGA-387",,"Socket 8",7.5M,0.25u,CMOS,,3.3V,,,,,,,,,,,,1998,1998,599,"Desktop computers",,,,.,,,,,,,,,,,,,,
,"RH80535 1400/1M (Pentium M)",`````,1,X,Intel,RH80535GC0171M,"RH80535 1400/1M",SL6F8,BXM80535GC1400E,,CPU,"Pentium M",Banias,,,Banias,695,x32,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,no,1,,,32,64,32,1.4GHz,"400MHz (QDR)",,14,integrated,none,,32k/32k,,32k,32k,1M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",77M,0.13u,CMOS,84mm^2,1.484V,,1.484V,,,,"1.41 Watt (Deeper Sleep mode)",,"26.71 Watt",22W,"Stop Grant, Auto Halt, Sleep, Deep Sleep, Deeper Sleep modes; Enhanced SpeedStep technology; Dynamic FSB power down","0°C - 100°C",2003,2003,"$377 (includes chipset, and network chips)","Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80535 1500/1M (Pentium M)",`````,1,X,Intel,RH80535GC0211M,"RH80535 1500/1M",SL6F9,BXM80535GC1500E,,CPU,"Pentium M",Banias,705,,Banias,695,x32,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,no,1,,,32,64,32,1.5MHz,"400MHz (QDR)",,15,integrated,none,,32k/32k,,32k,32k,1M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",77M,0.13u,CMOS,84mm^2,1.484V,,1.484V,,,,"1.41 Watt (Deeper Sleep mode)",,"31.16 Watt","24.5 Watt","Stop Grant, Auto Halt, Sleep, Deep Sleep, Deeper Sleep modes; Enhanced SpeedStep technology; Dynamic FSB power down","0°C - 100°C",2003,2003,"$506 (includes chipset, and network chips)","Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80535 1600/1M (Pentium M)",`````,1,X,Intel,RH80535GC0251M,"RH80535 1600/1M",SL6FA,,BXM80535GC1600E,CPU,"Pentium M",Banias,,,Banias,695,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,32,64,32,1.6GHz,"400MHz (QDR)",,16,integrated,none,,32k/32k,,32k,32k,1M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",77M,0.13u,CMOS,84mm^2,1.484V,,1.484V,,,,"1.41 Watt (Deeper Sleep mode)",,"31.16 Watt",24.5W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Dynamic FSB power down, Enhanced SpeedStep","0°C - 100°C",2003,2003,"$720 (includes chipset and network chips)","Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80535 1700/1M (Pentium M)",`````,1,X,Intel,RH80535GC0291M,"RH80535 1700/1M",SL6N5,,BXM80535GC1700E,CPU,"Pentium M",Banias,,,Banias,695,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,32,64,32,1.7GHz,"400MHz (QDR)",,17,integrated,none,,32k/32k,,32k,32k,1M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",77M,0.13u,CMOS,84mm^2,1.484V,,1.484V,,,,"1.41 Watt (Deeper Sleep mode)",,"31.16 Watt",24.5W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Dynamic FSB power down, Enhanced SpeedStep","0°C - 100°C",2003,2003,"$725 (includes chipset and network chips)","Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 725A (Pentium M)",`````,1,X,Intel,RH80536GC0252MT,"RH80536 725A",SL89T,,,CPU,"Pentium M",Dothan,725A,,Dothan,,x32,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,no,1,,,32,64,32,1.6GHz,"400MHz (QDR)",,16,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",140M,90n,CMOS,87mm^2,"1.276V - 1.34V",,"1.276V - 1.34V",,,,"1.87 Watt (Deeper Sleep mode) ",,"30.22 Watt",,"Stop Grant, Auto Halt, Sleep, Deep Sleep, Deeper Sleep modes; Enhanced SpeedStep technology; Dynamic FSB power down","0°C - 100°C",,,,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 1700/2M (Pentium M)",`````,1,X,Intel,RH80536GC0292M,"RH80536 1700/2M",SL7EP,,BXM80536GC1700F,CPU,"Pentium M",Dothan,735,,Dothan,6D6,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,32,64,32,1.7GHz,"400MHz (QDR)",,17,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",140M,90n,CMOS,87mm^2,"1.276V - 1.34V",,"1.276V - 1.34V",,,,"1.87 Watt (Deeper Sleep mode)",,"30.22 Watt",21W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Dynamic FSB power down, Enhanced SpeedStep","0°C - 100°C",2004,2004,294,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 735A (Pentium M)",`````,1,X,Intel,RH80536GC0292MT,"RH80536 735A",SL8BA,1.7/2M/400,,CPU,"Pentium M",Dothan,735A,,Dothan,,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,Mobile,Intel,No,1,,,32,64,32,1.7GHz,"400MHz (QDR)",,17,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M",140M,90nm,CMOS,87mm^2,,,,,,,,,,,"AutoHALT, Stop Grant, Sleep, Deep Sleep, Deeper Sleep, Dynamic FSB power down,  Enhanced SpeedStep technology",0-100C,,,,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 1800/2M (Pentium M)",`````,1,X,Intel,RH80536GC0332M,"RH80536 1800/2M",SL7EN,,BXM80536GC1800F,CPU,"Pentium M",Dothan,745,,Dothan,6D6,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,32,64,32,1.8GHz,"400MHz (QDR)",,18,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",140M,90n,CMOS,87mm^2,"1.276V - 1.34V",,"1.276V - 1.34V",,,,"1.87 Watt (Deeper Sleep mode)",,"30.22 Watt",21W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Dynamic FSB power down, Enhanced SpeedStep","0°C - 100°C",2004,2004,423,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 2000/2M (Pentium M)",`````,1,X,Intel,RH80536GC0412M,"RH80536 2000/2M",SL7EM,,BXM80536GC2000F,CPU,"Pentium M",Dothan,755,,Dothan,6D6,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,No,1,,,32,64,32,2GHz,"400MHz (QDR)",,20,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",140M,90n,CMOS,87mm^2,"1.276V - 1.34V",,"1.276V - 1.34V",,,,"1.87 Watt (Deeper Sleep mode)",,"30.22 Watt",21W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Dynamic FSB power down, Enhanced SpeedStep","0°C - 100°C",2004,2004,637,"Mobile computers",,,,,,,,,,,,,,,,,,
,"RH80536 730 (Pentium M)",,1,X,Intel,RH80536GE0252M,"RH80536 730",SL86G,1.6/2M/533,,CPU,"Pentium M",Dothan,730,,Dothan,6D8,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,Mobile,Intel,No,1,,,32,64,32,1.6GHz,"533MHz (QDR)",,12,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479",140M,90nm,CMOS,87mm^2,"1.26 – 1.356V",,"1.26 – 1.356V",,,,"2.92 Watt (Deeper Sleep mode)",,38.2W,27W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep, Enhanced SpeedStep",0-100C,2005,2005,270,"Mobile computers, embeded systems",,,,,,,,,,,,datasheet-Intel--RH80536GE0252M.pdf,,,,,,
,"RH80536 740 (Pentium M)",,1,X,Intel,RH80536GE0302M,"RH80536 740",SL7SA,,BX80536GE1733FJ,CPU,"Pentium M",Dothan,740,,Dothan,6D8,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,Mobile,Intel,No,1,,,32,64,32,1.733GHz,"533MHz (QDR)",,12,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479",140M,90nm,CMOS,87mm^2,"1.26 – 1.356V",,"1.26 – 1.356V",,,,"2.92 Watt (Deeper Sleep mode)",,38.2W,27W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep modes; Dynamic FSB power down, Enhanced SpeedStep",0-100C,2005,2005,,"Mobile computers, embeded systems",,,,,,,,,,,,datasheet-Intel--RH80536GE0252M.pdf,,,,,,
,"RH80536 750 (Pentium M)",`````,1,X,Intel,RH80536GE0362M,"RH80536 750",SL7S9,,BX80536GE1866FJ,CPU,"Pentium M",Dothan,750,,Dothan,6D8,x86,"MMX, SSE, SSE2",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,Mobile,Intel,No,1,,,32,64,32,1.867GHz,"533MHz (QDR)",,14,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479",140M,90nm,CMOS,87mm^2,"1.26 – 1.356V",,"1.26 – 1.356V",,,,"2.92 Watt (Deeper Sleep mode)",,38.2W,27W,"AutoHALT, Quick Start, Deep Sleep, Deeper Sleep modes; Dynamic FSB power down, Enhanced SpeedStep",0-100C,2005,2005,,"Mobile computers, embeded systems",,,,,,,,,,,,datasheet-Intel--RH80536GE0252M.pdf,,,,,,
,"RH80536 760 (Pentium M)",`````,1,X,Intel,RH80536GE0412M,"RH80536 760",SL7SM,BX80536GE2000FJ,,CPU,"Pentium M",Dothan,760,,Dothan,6D8,x32,"MMX, SSE, SSE2, NX/DX",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,Intel,no,1,,,32,64,32,2GHz,"533MHz (QDR)",,15,integrated,none,,32k/32k,,32k,32k,2M,,NA,NA,NA,,,FC-uPGA-478,"35mm x 35mm","Socket 479 / mPGA479M / mPGA478C",140M,90n,CMOS,87mm^2,"1.26V - 1.356V",,"1.26V - 1.356V",,,,"2.92 Watt (Deeper Sleep mode)",,"38.2 Watt",27W,"Stop Grant, Auto Halt, Sleep, Deep Sleep, Deeper Sleep modes; Enhanced SpeedStep technology; Dynamic FSB power down","0°C - 100°C",2005,2005,"$415 (embedded)","Mobile computers, embedded",,,,,,,,,,,,,,,,,,
